1,31,2.5,1.08
1,1029,3.0,1.03
1,1061,3.0,1.16
1,1129,2.0,1.01
1,1172,4.0,1.08
1,1263,2.0,1.08
1,1287,2.0,1.01
1,1293,2.0,1.08
1,1339,3.5,1.09
1,1343,2.0,1.16
1,1371,2.5,1.02
1,1405,1.0,1.02
1,1953,4.0,1.01
1,2105,4.0,1.01
1,2150,3.0,1.02
1,2193,2.0,1.01
1,2294,2.0,1.02
1,2455,2.5,1.08
1,2968,1.0,1.02
1,3671,3.0,1.05
2,10,4.0,1.01
2,17,5.0,1.14
2,39,5.0,1.05
2,47,4.0,1.13
2,50,4.0,1.06
2,52,3.0,1.05
2,62,3.0,1.08
2,110,4.0,1.01
2,144,3.0,1.05
2,150,5.0,1.11
2,153,4.0,1.01
2,161,3.0,1.16
2,165,3.0,1.06
2,168,3.0,1.01
2,185,3.0,1.16
2,186,3.0,1.14
2,208,3.0,1.15
2,222,5.0,1.14
2,223,1.0,1.05
2,225,3.0,1.16
2,235,3.0,1.05
2,248,3.0,1.05
2,253,4.0,1.1
2,261,4.0,1.08
2,265,5.0,1.09
2,266,5.0,1.18
2,272,3.0,1.08
2,273,4.0,1.15
2,292,3.0,1.16
2,296,4.0,1.05
2,300,3.0,1.08
2,314,4.0,1.04
2,317,2.0,1.05
2,319,1.0,1.05
2,339,3.0,1.14
2,349,4.0,1.01
2,350,4.0,1.16
2,356,3.0,1.17
2,357,3.0,1.14
2,364,3.0,1.11
2,367,3.0,1.09
2,370,2.0,1.01
2,371,3.0,1.05
2,372,3.0,1.05
2,377,3.0,1.01
2,382,3.0,1.08
2,405,2.0,1.01
2,410,3.0,1.04
2,454,4.0,1.16
2,457,3.0,1.16
2,468,4.0,1.05
2,474,2.0,1.16
2,480,4.0,1.01
2,485,3.0,1.09
2,497,3.0,1.05
2,500,4.0,1.08
2,508,4.0,1.08
2,509,4.0,1.14
2,515,4.0,1.08
2,527,4.0,1.17
2,537,4.0,1.08
2,539,3.0,1.14
2,550,3.0,1.05
2,551,5.0,1.03
2,552,3.0,1.02
2,585,5.0,1.05
2,586,3.0,1.04
2,587,3.0,1.09
2,588,3.0,1.02
2,589,5.0,1.15
2,590,5.0,1.18
2,592,5.0,1.16
2,593,3.0,1.06
2,616,3.0,1.04
2,661,4.0,1.04
2,720,4.0,1.05
3,60,3.0,1.02
3,110,4.0,1.01
3,247,3.5,1.06
3,267,3.0,1.05
3,296,4.5,1.16
3,318,5.0,1.06
3,355,2.5,1.04
3,356,5.0,1.17
3,377,2.5,1.16
3,527,3.0,1.17
3,588,3.0,1.12
3,592,3.0,1.01
3,593,3.0,1.06
3,595,2.0,1.11
3,736,3.5,1.16
3,778,4.0,1.05
3,866,3.0,1.14
